"curveID","J_ref","J_ref_SE","J_ref_var","Ea_A","Ea_A_SE","Ea_A_var","Ed_A","Ed_A_SE","Ed_A_var","Topt","Topt_SE","Topt_var","Topt_EdA_cov","Topt_EdA_cor","Amax","AIC","r_sq","Tbreadth","id","Tleaf_min","Tleaf_max","gsw_mean_above30","z","CTmax_1min","T50","id_original","id_was_corrected","Ea_PSII","lnA_PSII","site","tree","collection_date","collector","species","location","long","lat","transplant_date","status","block","within_block_position","treatment","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","elev_m"
6,77.2243469880319,5.88602668869266,34.6453101800023,0.880464761552963,0.0298855362371682,0.000893145276183094,0.94811464961595,0.0243722575675794,0.00059400693894043,31.1325763615889,0.144375177081709,0.0208441917573747,0.00160838377612236,0.457089657465376,10.9906035625388,-623.54555598639,0.994457817479902,NA,"S10T10P01",12.1470464285714,37.1761740740741,0.152710070778628,1.28731775788899,44.2762436457275,42.971304352626,"S10T10P01",FALSE,162.629644878957,58.4619217531626,10,10,"0/05/2023","BRY","hedraia","Falls Creek/Bogong",147.2955856,-36.87176213,"5/14/2024","alive","3","B2","cold",6.34166669845581,8.60000038146973,38.5650215148926,507.094360351562,19,-3.29999995231628,22.2999992370605,0.149999976158142,12.5833330154419,12.5833330154419,0.149999976158142,1623,194,77,26.7793922424316,531,277,277,531,1591.98254394531
7,16.3165349261726,0.396625214147382,0.157311560497457,0.203911122729764,0.00920040858182462,8.4647518072512e-05,0.765438728871803,0.019620729148121,0.000384973012303925,27.6531938074812,0.0877179030674252,0.0076944305185462,0.00157886493298862,0.91736379317813,12.837526183117,-549.681161724884,0.975043811315302,14.8,"S10T03P04",13.5912,38.7163333333333,0.148954891038232,1.78336362782028,45.9239165636603,43.0584145734547,"S10T03P04",FALSE,246.000875714393,89.0099293050016,10,3,"0/05/2024","BRY","hedraia","Falls Creek/Bogong",147.3045634,-36.72356214,"5/8/2024","alive","3","C14","cold",7.05416679382324,8.125,37.2706413269043,499.497283935547,19.3999996185303,-2.40000009536743,21.7999992370605,1.03333330154419,13.2666664123535,13.2666664123535,1.03333330154419,1582,179,74,25.5976619720459,506,267,267,506,1734.21838378906
9,15.4140531057356,0.0244071897172305,0.000595710909892885,0.138606187460863,0.00200087728145806,4.00350989545499e-06,9.46973968828627,0.874205309585553,0.764234923307573,35.5617396804849,0.0828894928729403,0.00687066802873321,0.0626408572807003,0.864459736583285,18.2660831743129,308.804824313695,0.959907453425803,5.4,"S05T01P01",15.77645,37.8096,0.414333886309749,3.44846445623313,50.1121322004454,NA,"S05T01P01",FALSE,258.943891478399,93.1213016863075,5,1,"2/9/2024","ZAR + BRY","lacrimans","Long Plain",148.5524946,-35.6802018,"5/7/2024","alive","spare",NA,NA,8.23750019073486,11.5749998092651,45.3921585083008,514.852661132812,22.2999992370605,-3.20000004768372,25.5,2.61666679382324,12.3333330154419,14.4833335876465,1.81666672229767,1211,140,63,23.1832885742188,386,216,238,379,1345.40161132812
10,8.00904040398942,0.00842076382810625,7.09092634487426e-05,0.192129602973572,0.00148279729092733,2.19868780598144e-06,2.69952731984713,0.0220074690551747,0.000484328694214472,32.7123785721246,0.0344572551173827,0.00118730243022439,0.00072492867397315,0.955970520484369,8.98216613077,-861.453105179176,0.994745522844627,7.6,"S10T02P04",15.0757666666667,41.3260333333333,0.113571601892294,2.50105095621087,45.5162826325669,38.8137675406518,"S10T02P04",FALSE,159.380220863807,56.5528383740147,10,2,"0/05/2023","BRY","hedraia","Falls Creek/Bogong",147.295,-36.7132,"5/6/2024","alive","5","F5","cold",8.06666660308838,8.65000057220459,38.7892379760742,495.866271972656,20.6000003814697,-1.70000004768372,22.3000011444092,2.06666660308838,14.216667175293,14.216667175293,2.06666660308838,1436,161,66,26.7405071258545,466,241,241,466,1436.73229980469
11,19.214929138456,0.247210703466306,0.0611131319083061,0.24369216191155,0.00706326536490577,4.98897176150774e-05,1.05094474968335,0.0168973600309509,0.000285520776015578,27.8114590056801,0.0650160993013772,0.00422709316836654,0.00103328917030815,0.940550481181484,16.1263765427251,-356.07624909644,0.983608189452369,11.3,"S12T03P04",14.8959296296296,38.9292107142857,0.234246556972902,3.25873614084046,49.6531935049684,NA,"S12T03P07",TRUE,274.244647714337,99.2875233021022,12,3,"5/29/2020","MON","pauciflora","Armidale",151.7523055,-30.18836987,"5/6/2024","alive","4","F6","cold",11.8249998092651,11.8500003814697,48.5655708312988,478.351806640625,24.2000007629395,-0.200000002980232,24.4000015258789,17.5,5.68333339691162,17.5,5.68333339691162,921,131,47,35.875316619873,348,151,348,151,1324.30590820312
12,10.2898079779849,0.0120402609086986,0.000144967882749535,0.12197167154269,0.00206718785462221,4.27326562629757e-06,2.93224785160493,0.0753772864961942,0.00568173531952935,33.7816338151562,0.0667966523652543,0.00446179276720463,0.0048011143940765,0.953557435612851,11.2960369761963,-460.700328808184,0.967265763305729,9.3,"S05T05P12",17.7330333333333,40.0711,0.222747487024723,2.52365644996711,47.6270276513442,42.8086476323587,"S05T05P12",FALSE,198.944825063116,70.9133688021833,5,5,"2/9/2024","ZAR + BRY","lacrimans","Long Plain",148.5753374,-35.63213532,"5/1/2024","alive","2","C16","cold",8.13333320617676,11.0166664123535,44.2436408996582,513.92578125,21.7999992370605,-3.09999990463257,24.8999996185303,2.5,12.2166662216187,14.3833332061768,1.73333323001862,1171,137,63,22.3808460235596,370,214,231,364,1366.77880859375
13,17.2337662371987,0.0346485886879727,0.00120052469806831,0.103843254382669,0.002444457017724,5.9753701115001e-06,1.85016172258199,0.0309564548723046,0.000958302098261031,29.382618214853,0.0533564324882214,0.00284690888787013,0.00149720559006205,0.90644912962308,17.2470303699574,-462.377604067367,0.990219862988836,12.3,"S12T02P01",17.5982333333333,39.1417333333333,0.268521742492081,3.88721803929479,47.7469438049666,40.8535585698128,"S12T02P01",FALSE,225.895150619483,81.7297990664801,12,2,"5/29/2020","MON","pauciflora","Armidale",151.7505972,-30.34999098,"5/8/2024","alive","4","D6","cold",12.283332824707,11.5500001907349,47.3360633850098,483.050598144531,24.7000007629395,0.300000011920929,24.4000015258789,18.0166664123535,6.06666660308838,18.0166664123535,6.06666660308838,845,119,41,36.8704605102539,321,135,321,135,1229.76293945312
14,8.99031839623242,0.00479692811900241,2.3010519378876e-05,0.110540097159558,0.000491537395433901,2.41609011109943e-07,15.6578653906161,2.73348264538151,7.47192737260191,38.0756852686525,0.044559583153804,0.00198555645084077,0.0504290679420216,0.414022078188077,10.6949011887527,-780.048214115441,0.995573666614178,NA,"S06T02P29",11.4724222222222,38.8709111111111,0.102350073785734,3.34755252095326,48.3523806579381,44.5145053469951,"S06T02P29",FALSE,234.81257437355,85.6494003495199,6,2,"2/9/2024","ZAR + BRY","pauciflora","Long Plain",148.6445585,-35.60294304,"5/7/2024","alive","2","B4","cold",8.42500019073486,11.6333332061768,45.4427070617676,515.917114257812,22.3999996185303,-3.20000004768372,25.6000003814697,2.81666660308838,12.5,14.6999998092651,2,1077,120,62,18.9415454864502,326,207,221,320,1313.17736816406
16,9.60479513593175,0.0221142344399159,0.000489039364863562,0.150383826734526,0.00237630055188863,5.64680431290618e-06,2.86967919856143,0.138002208095954,0.0190446094393591,32.8326564263946,0.0799014673571724,0.00638424448582929,0.00934005773991846,0.847049461406953,10.5721273883401,-269.93287152934,0.97538494478338,8.3,"S07T09P05",12.541537037037,37.2287892857143,0.204235393877157,5.04770938667933,50.3026596664708,43.1075938673291,"S07T09P05",FALSE,341.246715059989,125.553106611839,7,9,"2/17/2024","ZAR + BRY","pauciflora","Namadgi, Mt Franklin Road",148.7854164,-35.41904123,"5/8/2024","alive","4","C15","control",9.00416660308838,10.3416662216187,42.7341575622559,506.015899658203,22.1000003814697,-2.09999990463257,24.2000007629395,5.5,15.1166667938232,15.1666669845581,2.76666665077209,1010,107,64,15.422116279602,296,210,211,281,1297.65063476562
17,11.3560265002709,0.0683881791036508,0.00467694304111302,0.19581228118123,0.00482444480110486,2.32752676389077e-05,1.57713582389707,0.0732720275415626,0.00536879002005151,33.0401328041222,0.0821750838166715,0.00675274440027699,0.00440943325292342,0.732325923521311,12.1489737015309,-165.570897948918,0.976523325418689,10.1,"S07T08P02",13.3465,38.8001333333333,0.186220575245647,3.10161815031209,48.4653121930583,43.0303190659093,"S07T08P02",FALSE,248.534852993131,90.4759542232072,7,8,"2/17/2024","ZAR + BRY","pauciflora","Namadgi, Mt Franklin Road",148.7965021,-35.40486114,"5/13/2024","alive","3","D4","cold",9.54583358764648,10.6916666030884,43.4620628356934,506.581512451172,22.7999992370605,-1.79999995231628,24.5999984741211,6.08333349227905,15.6499996185303,15.716667175293,3.28333330154419,1015,108,63,15.8454093933105,297,210,210,285,1265.83581542969
